tau,mag
-39.92047984095968,1.0608808218738486
-39.92031984063968,1.0608815317664264
-39.920159840319684,1.0608822415653865
-39.91999983999968,1.0608829512395228
-39.91983983967968,1.0608836611945125
-39.91967983935968,1.0608843710246783
-39.91951983903968,1.060885080917256
-39.91935983871968,1.0608857906434024
-39.91919983839968,1.060886500504774
-39.91903983807968,1.0608872106053913
-39.918879837759675,1.0608879204147532
-39.918719837439674,1.060888630265723
-39.91855983711967,1.0608893403455362
-39.91839983679967,1.0608900501132903
-39.91823983647967,1.0608907601410935
-39.91807983615968,1.0608914700960832
-39.91791983583967,1.0608921801342883
-39.91775983551967,1.0608928898500327
-39.91759983519967,1.0608935998154243
-39.91743983487967,1.0608943099784531
-39.91727983455967,1.060895019850227
-39.91711983423967,1.0608957299612458
-39.91695983391967,1.0608964398954315
-39.91679983359967,1.060897150152078
-39.91663983327967,1.0608978600758616
-39.916479832959666,1.060898570030851
-39.916319832639665,1.0608992801418702
-39.916159832319664,1.060899990294497
-39.91599983199966,1.0609007002598885
-39.91583983167966,1.060901410578947
-39.91567983135966,1.0609021205963483
-39.91551983103966,1.0609028307281712
-39.915359830719666,1.060903540922406
-39.91519983039966,1.0609042511166407
-39.91503983007966,1.0609049611860517
-39.914879829759656,1.0609056713490808
-39.91471982943966,1.060906381376884
-39.91455982911966,1.0609070916543344
-39.91439982879966,1.060907801921383
-39.91423982847966,1.0609085118451667
-39.91407982815966,1.0609092220914111
-39.913919827839656,1.0609099324624793
-39.913759827519655,1.060910643280832
-39.913599827199654,1.0609113526325076
-39.91343982687965,1.0609120639397527
-39.91327982655965,1.0609127734682615
-39.91311982623965,1.0609134836000844
-39.91295982591965,1.060914193877535
-39.91279982559965,1.060914904290211
-39.912639825279655,1.0609156145052496
-39.91247982495965,1.0609163249179256
-39.912319824639646,1.0609170352057782
-39.91215982431965,1.060917745400013
-39.91199982399965,1.060918455812689
-39.91183982367965,1.060919166256571
-39.91167982335965,1.0609198763675898
-39.91151982303965,1.0609205869987073
-39.911359822719646,1.0609212971201283
-39.911199822399645,1.0609220075640102
-39.911039822079644,1.0609227178310587
-39.91087982175964,1.0609234281917248
-39.91071982143964,1.060924138906058
-39.91055982111965,1.0609248493707437
-39.91039982079964,1.0609255596481941
-39.91023982047964,1.0609262702168998
-39.91007982015964,1.0609269806399777
-39.909919819839644,1.0609276942252535
-39.909759819519635,1.0609284002587018
-39.909599819199634,1.0609291119612216
-39.90943981887964,1.0609298236533395
-39.90927981855964,1.0609305330466228
-39.90911981823964,1.0609312432512594
-39.90895981791964,1.0609319541320241
-39.908799817599636,1.060932664555102
-39.908639817279635,1.0609333752382293
-39.908479816959634,1.0609340857861307
-39.90831981663963,1.060934796125993
-39.90815981631963,1.0609355067259045
-39.90799981599963,1.0609362173362178
-39.90783981567964,1.0609369281233647
-39.90767981535963,1.060937638452825
-39.90751981503963,1.060938349167158
-39.90735981471963,1.0609390597358634
-39.90719981439963,1.060939770366981
-39.907039814079624,1.0609404811749317
-39.90687981375962,1.0609411917644411
-39.90671981343963,1.0609419022811368
-39.90655981311963,1.0609426131410973
-39.90639981279963,1.0609433236994008
-39.906239812479626,1.0609440345905674
-39.906079812159625,1.0609447450032434
-39.905919811839624,1.060945455821596
-39.90575981151962,1.0609461669416058
-39.90559981119962,1.0609468771670465
-39.90543981087962,1.0609475881310266
-39.90527981055962,1.0609482988453598
-39.905119810239626,1.0609490097261243
-39.90495980991962,1.06094972029483
-39.904799809599616,1.0609504311755944
-39.90463980927962,1.060951141962741
-39.90447980895962,1.0609518531035549
-39.90431980863961,1.0609525636722603
-39.90415980831961,1.0609532742825738
-39.90399980799962,1.0609539852257501
-39.90383980767962,1.0609546959920928
-39.903679807359616,1.0609554069456713
-39.903519807039615,1.0609561177432199
-39.903359806719614,1.0609568287384061
-39.90319980639961,1.060957539494347
-39.90303980607961,1.0609582504687292
-39.90287980575961,1.0609589613598958
-39.90271980543961,1.0609596723342778
-39.90255980511961,1.0609603834022778
-39.902399804799614,1.060961094095807
-39.902239804479606,1.0609618051846108
-39.902079804159605,1.0609625160237675
-39.90191980383961,1.0609632270293554
-39.90175980351961,1.0609639379725317
-39.9015998031996,1.060964648915708
-39.9014398028796,1.060965359962904
-39.90127980255961,1.0609660708124626
-39.901119802239606,1.0609667818804625
-39.900959801919605,1.0609674929588644
-39.900799801599604,1.0609682039956585
-39.9006398012796,1.0609689149596386
-39.9004798009596,1.0609696260900503
-39.9003198006396,1.0609703370228247
-39.9001598003196,1.0609710481636383
-39.8999997999996,1.0609717592524421
-39.8998397996796,1.0609724702372263
-39.8996797993596,1.060973181409246
-39.899519799039595,1.060973892383628
-39.899359798719594,1.0609746035244418
-39.8991997983996,1.060975314748471
-39.8990397980796,1.060976025826873
-39.89887979775959,1.0609767373109515
-39.8987197974396,1.0609774481813141
-39.898559797119596,1.0609781594365495
